ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
99,z,-0.254601505,1.269758471,1520,-0.200511759,0.8411071867,0.05,-2.745265647,2.236062638
100,z,-0.132961344,1.342418665,1520,-0.099046108,0.9211147215,0.05,-2.76615034,2.5002276519
101,z,-0.1503159,1.3312919421,1520,-0.112909795,0.9101169803,0.05,-2.761679541,2.4610477401
102,z,-0.22803478,1.2846961818,1520,-0.17750094,0.8591385768,0.05,-2.747999629,2.2919300692
103,z,-0.261732053,1.2659440767,1520,-0.206748511,0.8362339601,0.05,-2.744914163,2.2214500557
104,z,-0.09322814,1.3691055079,1520,-0.068094197,0.9457196059,0.05,-2.77876407,2.5923077896
105,z,-0.31632118,1.2396442484,1520,-0.255170933,0.7986256014,0.05,-2.747915494,2.1152731349
106,z,-0.144879584,1.3345863075,1520,-0.108557673,0.9135676624,0.05,-2.762705208,2.4729460394
107,z,-0.162371742,1.3236528083,1520,-0.122669435,0.902385085,0.05,-2.758751023,2.4340075396
108,z,-0.11567651,1.3539789389,1520,-0.085434497,0.93192722,0.05,-2.771541282,2.5401882625
109,z,-0.307721135,1.2422871438,1520,-0.24770532,0.804395871,0.05,-2.744499557,2.1290572874
110,z,-0.174879879,1.3157093542,1520,-0.132916802,0.8942767724,0.05,-2.75567787,2.4059181112
111,z,-0.219460025,1.2893368111,1520,-0.170211556,0.8648664155,0.05,-2.748527589,2.3096075386
112,z,1.6528146602,1.1162926595,1520,1.480628441,0.1389128543,0.05,-0.536822316,3.8424516369
113,z,-0.162821956,1.3231776104,1520,-0.123053742,0.9020808097,0.05,-2.758269124,2.4326252128
114,z,1.5343108658,1.0766889505,1520,1.4250270379,0.154354679,0.05,-0.577642409,3.646264141
115,z,-0.201530158,1.2999094895,1520,-0.155033993,0.8768151026,0.05,-2.751336305,2.3482759881
116,z,-0.204909081,1.2981171528,1520,-0.157850992,0.8745951828,0.05,-2.751199512,2.341381351
117,z,-0.243481757,1.2760962916,1520,-0.190802025,0.8487061825,0.05,-2.746577699,2.2596141851
118,z,-0.268988484,1.2620285704,1520,-0.213139774,0.8312465246,0.05,-2.744490226,2.2065132583
119,z,-0.251347483,1.2713470664,1520,-0.197701705,0.8433048901,0.05,-2.745127697,2.2424327303
120,z,-0.20380387,1.2987129709,1520,-0.15692757,0.8753227724,0.05,-2.751263015,2.3436552737
121,z,-0.252924671,1.2705173158,1520,-0.199072195,0.8422328956,0.05,-2.745077307,2.2392279651
122,z,1.6824228356,1.1262190114,1520,1.4938682606,0.1354176041,0.05,-0.526684937,3.8915306086
123,z,-0.152625563,1.3298554409,1520,-0.114768537,0.9086437462,0.05,-2.76117147,2.4559203427
124,z,-0.142758393,1.3359766253,1520,-0.106856954,0.9149165646,0.05,-2.763311161,2.4777943753
125,z,-0.138131815,1.3391572749,1520,-0.103148314,0.917858867,0.05,-2.76492351,2.4886598794
126,z,-0.171670937,1.3177919523,1520,-0.130271654,0.8963687435,0.05,-2.756553997,2.4132121237
127,z,-0.297920846,1.246991266,1520,-0.238911734,0.8112062332,0.05,-2.743926526,2.1480848337
128,z,-0.223030563,1.287615939,1520,-0.173212024,0.8625078349,0.05,-2.748722591,2.3026614656
129,z,-0.132923721,1.3425454679,1520,-0.099008729,0.9211443944,0.05,-2.766361443,2.5005140022
130,z,-0.141796053,1.3367298434,1520,-0.106076821,0.9155353983,0.05,-2.763826278,2.4802341718
131,z,-0.142088265,1.3363357581,1520,-0.10632677,0.9153371231,0.05,-2.763345481,2.4791689516
132,z,-0.116032008,1.3534883986,1520,-0.085728114,0.9316938431,0.05,-2.770934572,2.5388705574
133,z,1.4806661512,1.0557536996,1520,1.4024730879,0.1609782217,0.05,-0.590222087,3.5515543892
134,z,-0.152100299,1.3299376661,1520,-0.114366487,0.9089623836,0.05,-2.760807492,2.4566068944
135,z,-0.215721472,1.2915460934,1520,-0.167025763,0.8673719942,0.05,-2.7491226,2.3176796566
136,z,-0.24130298,1.2777699288,1520,-0.18884697,0.8502379679,0.05,-2.747681804,2.2650758449
137,z,-0.228741467,1.2842269172,1520,-0.178116082,0.8586555465,0.05,-2.747785842,2.2903029072
138,z,-0.186372942,1.3089763051,1520,-0.142380684,0.8867981886,0.05,-2.753963882,2.3812179986
139,z,1.7199752375,1.1398629784,1520,1.5089315735,0.131524093,0.05,-0.51589553,3.9558460053
140,z,-0.139276496,1.3382673442,1520,-0.104072252,0.9171257408,0.05,-2.764322568,2.4857695762
141,z,-0.147980602,1.3326306645,1520,-0.111043972,0.911596138,0.05,-2.761970181,2.466008977
142,z,1.5751587529,1.0982230646,1520,1.4342794316,0.1516982291,0.05,-0.579034245,3.729351751
143,z,-0.149315387,1.3318930266,1520,-0.112107642,0.9107528603,0.05,-2.76185807,2.4632272963
144,z,-0.185855323,1.3092802683,1520,-0.141952283,0.8871365088,0.05,-2.754042494,2.3823318493
145,z,-0.140578285,1.3374767429,1520,-0.105107087,0.9163047033,0.05,-2.764073572,2.4829170026
146,z,-0.008841423,1.4317412904,1520,-0.006175294,0.9950736702,0.05,-2.817239063,2.7995562171
147,z,-0.0267626,1.4176668887,1520,-0.018877918,0.9849409726,0.05,-2.807552936,2.7540277365
148,z,-0.173696914,1.3167217909,1520,-0.131916184,0.8950680463,0.05,-2.756480825,2.4090869974
149,z,-0.13427264,1.341559323,1520,-0.100086994,0.9202884594,0.05,-2.765776014,2.4972307341
150,z,1.5056538436,1.0631379726,1520,1.4162355991,0.1569114242,0.05,-0.579718837,3.5910265246
151,z,-0.044137841,1.4044285711,1520,-0.031427615,0.9749326441,0.05,-2.798960874,2.7106851924
152,z,-0.180555958,1.3126559996,1520,-0.137550095,0.8906142164,0.05,-2.755364714,2.3942527985
153,z,-0.007002602,1.4332107886,1520,-0.004885954,0.9961022295,0.05,-2.8182827,2.8042774969
154,z,-0.040441522,1.4072152861,1520,-0.028738689,0.9770767727,0.05,-2.800730769,2.7198477251
155,z,-0.200051682,1.3010416619,1520,-0.153762703,0.8778172542,0.05,-2.752078614,2.35197525
156,z,-0.023807178,1.4199705882,1520,-0.016765966,0.9866255219,0.05,-2.809116281,2.7615019244
157,z,-0.059521955,1.3930519325,1520,-0.042727736,0.9659241814,0.05,-2.792029417,2.6729855066
158,z,-0.216578242,1.2921254032,1520,-0.16761395,0.8669092929,0.05,-2.751115702,2.3179592171
159,z,-0.103264987,1.3622187865,1520,-0.075806462,0.9395830505,0.05,-2.775292434,2.5687624599
160,z,-0.164845896,1.322019626,1520,-0.124692472,0.9007835049,0.05,-2.758021648,2.4283298563
161,z,-0.152984545,1.3295092549,1520,-0.115068432,0.9084060796,0.05,-2.760851399,2.454882308
162,z,-0.19961161,1.300797641,1520,-0.153453238,0.8780612334,0.05,-2.751159888,2.351936669
