ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
113,z,-0.161067735,1.290697739,1520,-0.124791212,0.900705346,0.05,-2.692804794,2.3706693242
114,z,1.4530489016,1.0785360239,1520,1.347241881,0.1781031426,0.05,-0.662527456,3.5686252592
115,z,-0.199618586,1.2685829769,1520,-0.157355561,0.8749855331,0.05,-2.687976967,2.2887397937
116,z,-0.203164021,1.2672069697,1520,-0.160324261,0.8726469512,0.05,-2.688823328,2.282495285
117,z,-0.239935589,1.2460071857,1520,-0.192563568,0.8473265033,0.05,-2.68401097,2.2041397917
118,z,-0.268871633,1.2327008742,1520,-0.218115877,0.8273681049,0.05,-2.686846339,2.1491030736
119,z,-0.248574434,1.2409425245,1520,-0.200310997,0.8412641591,0.05,-2.682715351,2.1855664826
120,z,-0.201657266,1.2675912707,1520,-0.159086979,0.8736214813,0.05,-2.688070389,2.2847558568
121,z,-0.250699035,1.2402423034,1520,-0.202137143,0.8398365614,0.05,-2.68346645,2.1820683795
122,z,1.5886083431,1.1287957756,1520,1.4073478812,0.1595287089,0.05,-0.62555382,3.8027705061
123,z,-0.151098568,1.2970356744,1520,-0.116495306,0.9072753949,0.05,-2.695267652,2.3930705153
124,z,-0.142940745,1.3029591861,1520,-0.109704699,0.9126580553,0.05,-2.69872895,2.4128474606
125,z,-0.137453265,1.3055966925,1520,-0.105280035,0.9161674957,0.05,-2.698415007,2.4235084774
126,z,-0.169986799,1.2856107281,1520,-0.132222605,0.894825722,0.05,-2.691745555,2.3517719563
127,z,-0.294808288,1.2179140921,1520,-0.242060002,0.8087663235,0.05,-2.683778338,2.0941617618
128,z,-0.219970143,1.257019226,1520,-0.174993459,0.8611080791,0.05,-2.685645926,2.2457056403
129,z,-0.131233195,1.3094377286,1520,-0.100221028,0.9201820686,0.05,-2.69972923,2.4372628389
130,z,-0.140095491,1.303706177,1520,-0.107459406,0.9144387099,0.05,-2.697348938,2.4171579565
131,z,-0.140675132,1.3032103323,1520,-0.107945071,0.9140535106,0.05,-2.696955967,2.4156057029
132,z,-0.115209461,1.3197470832,1520,-0.087296621,0.9304472386,0.05,-2.703927561,2.47350864
133,z,1.4068746981,1.0581840584,1520,1.3295179482,0.1838766423,0.05,-0.668780752,3.482530148
134,z,-0.151553325,1.2971035468,1520,-0.116839805,0.9070024353,0.05,-2.695855543,2.3927488919
135,z,-0.213550453,1.2602133276,1520,-0.169455797,0.8654606872,0.05,-2.685491549,2.2583906431
136,z,-0.238447068,1.2472761,1520,-0.191174246,0.8484146119,0.05,-2.685011457,2.2081173209
137,z,-0.227259547,1.2534791969,1520,-0.181303006,0.8561539185,0.05,-2.685991471,2.2314723777
138,z,-0.184366602,1.2770092203,1520,-0.144373744,0.8852244882,0.05,-2.689253277,2.3205200731
139,z,1.6317559237,1.1421523593,1520,1.428667472,0.1533052849,0.05,-0.608605524,3.8721173715
140,z,-0.137857466,1.3050934686,1520,-0.105630339,0.9158895896,0.05,-2.697832122,2.4221171898
141,z,-0.147663703,1.29966724,1520,-0.113616546,0.9095567744,0.05,-2.696994671,2.4016672649
142,z,1.4904723573,1.09890298,1520,1.3563275234,0.1751964103,0.05,-0.665054312,3.645999027
143,z,-0.147433872,1.2994072257,1520,-0.113462407,0.9096789489,0.05,-2.696254815,2.4013870715
144,z,-0.184285206,1.2771817848,1520,-0.144290506,0.8852902029,0.05,-2.689510371,2.3209399589
145,z,-0.138703162,1.3046662898,1520,-0.106313134,0.9153479396,0.05,-2.697839896,2.4204335711
146,z,-0.008969098,1.3942303318,1520,-0.00643301,0.9948680802,0.05,-2.74378802,2.725849825
147,z,-0.026904532,1.3806529211,1520,-0.019486818,0.9844553104,0.05,-2.735091012,2.6812819478
148,z,-0.171453706,1.2846746319,1520,-0.133460801,0.8938466295,0.05,-2.691376284,2.3484688726
149,z,-0.132907247,1.3082728722,1520,-0.101589852,0.9190956336,0.05,-2.699118386,2.4333038909
150,z,1.4332587292,1.0663945143,1520,1.3440229765,0.1791415267,0.05,-0.658501743,3.5250192011
151,z,-0.04426693,1.3679060922,1520,-0.032361088,0.9741883419,0.05,-2.727450175,2.6389163148
152,z,-0.178674024,1.2808309908,1520,-0.139498517,0.8890747082,0.05,-2.691057201,2.333709153
153,z,-0.007119564,1.3956257173,1520,-0.005101342,0.9959304049,0.05,-2.744675572,2.7304364431
154,z,-0.040600544,1.3705286842,1520,-0.029624001,0.9763708123,0.05,-2.728928071,2.647726983
155,z,-0.197205618,1.2698166178,1520,-0.155302439,0.8766035129,0.05,-2.687983817,2.2935725808
156,z,-0.023762872,1.3829858124,1520,-0.017182297,0.9862934403,0.05,-2.736525379,2.688999634
157,z,-0.059458498,1.3571793828,1520,-0.043810346,0.9650613347,0.05,-2.721601024,2.6026840283
158,z,-0.214509787,1.2608142227,1520,-0.17013592,0.8649258869,0.05,-2.687629555,2.2586099804
159,z,-0.101718773,1.3282740355,1520,-0.076579659,0.938968019,0.05,-2.707162712,2.5037251651
160,z,-0.163404127,1.2896503555,1520,-0.126704208,0.899191273,0.05,-2.693086716,2.3662784621
161,z,-0.151781451,1.2971306497,1520,-0.117013233,0.9068650256,0.05,-2.696136831,2.3925739292
162,z,-0.197654895,1.2693087773,1520,-0.155718529,0.8762755683,0.05,-2.687436952,2.2921271615
163,z,-0.191090081,1.2745493374,1520,-0.149927567,0.8808416532,0.05,-2.691151632,2.30897147
164,z,-0.376359052,1.1805292754,1520,-0.318805353,0.7499179206,0.05,-2.691997816,1.9392797107
165,z,-0.201863447,1.2670551288,1520,-0.159317019,0.8734402783,0.05,-2.687224913,2.28349802
166,z,-0.292355011,1.2190111238,1520,-0.23982965,0.8104946576,0.05,-2.683476917,2.0987668952
167,z,-0.315948868,1.2077577107,1520,-0.261599545,0.793665637,0.05,-2.684996913,2.0530991767
168,z,-0.128191091,1.3115383013,1520,-0.09774102,0.922150829,0.05,-2.700807453,2.4444252715
