ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1149,z,-0.085527321,0.923618061,1520,-0.092600313,0.9262332981,0.05,-1.89722808,1.7261734379
1150,z,1.1143989528,0.5314423789,1520,2.0969327947,0.036164405,0.05,0.0719609561,2.1568369496
1151,z,-0.133232047,0.8846924256,1520,-0.150597025,0.8803135899,0.05,-1.868579164,1.6021150693
1152,z,-0.248700796,0.7999708731,1520,-0.310887315,0.7559289152,0.05,-1.817864393,1.3204627997
1153,z,-0.206896738,0.8293464034,1520,-0.249469627,0.8030312394,0.05,-1.833681198,1.4198877217
1154,z,-0.19866531,0.8351804974,1520,-0.237871107,0.812013125,0.05,-1.836893496,1.4395628769
1155,z,-0.102414108,0.9095563637,1520,-0.112597869,0.9103642428,0.05,-1.886532484,1.6817042676
1156,z,-0.172671373,0.8544618964,1520,-0.202082005,0.839879658,0.05,-1.848720523,1.5033777773
1157,z,-0.255710134,0.7953215684,1520,-0.321517916,0.7478621427,0.05,-1.815753998,1.3043337309
1158,z,-0.301974562,0.7651062241,1520,-0.394683185,0.6931320859,0.05,-1.802750245,1.1988011222
1159,z,0.9392870759,0.6685303107,1520,1.4050029759,0.1602247248,0.05,-0.372052451,2.250626603
1160,z,-0.198542024,0.8353172315,1520,-0.237684578,0.8121577789,0.05,-1.837038418,1.4399543703
1161,z,-0.191314674,0.8407551338,1520,-0.227551003,0.8200259168,0.05,-1.840477655,1.4578483059
1162,z,-0.308422191,0.7608871456,1520,-0.405345514,0.6852805993,0.05,-1.800922043,1.1840776609
1163,z,-0.290584598,0.7723523614,1520,-0.376233196,0.7067960445,0.05,-1.805573768,1.2244045721
1164,z,-0.113362308,0.9005856093,1520,-0.125876215,0.8998465573,0.05,-1.879884316,1.6531597005
1165,z,-0.16349574,0.8613386035,1520,-0.189815875,0.8494787602,0.05,-1.85303373,1.5260422491
1166,z,-0.180811306,0.8482509103,1520,-0.21315781,0.8312324593,0.05,-1.844677447,1.4830548337
1167,z,-0.008853142,0.991652443,1520,-0.008927666,0.9928780193,0.05,-1.954005104,1.9362988206
1168,z,-0.222698388,0.8179737253,1520,-0.272256164,0.7854620371,0.05,-1.827175046,1.3817782688
1169,z,0.9095266849,0.659165178,1520,1.3798160389,0.1678462214,0.05,-0.383442892,2.2024962617
1170,z,1.1779102226,0.7639666804,1520,1.5418345496,0.1233219528,0.05,-0.320630217,2.676450662
1171,z,-0.13538601,0.8831510617,1520,-0.153298814,0.8781829841,0.05,-1.867709702,1.5969376811
1172,z,-0.227668383,0.8147652311,1520,-0.279428202,0.7799542467,0.05,-1.825851496,1.3705147294
1173,z,-0.115904914,0.8985198519,1520,-0.128995385,0.8973783666,0.05,-1.878374886,1.6465650576
1174,z,1.336058526,0.5916110114,1520,2.2583395172,0.0240657721,0.05,0.1755981974,2.4965188546
1175,z,-0.112699898,0.9011109433,1520,-0.125067727,0.9004864709,0.05,-1.880252362,1.6548525669
1176,z,-0.191332949,0.8407017979,1520,-0.227587177,0.8199977975,0.05,-1.840391309,1.4577254118
1177,z,-0.193048055,0.8393550751,1520,-0.229995696,0.8181260613,0.05,-1.839464783,1.4533686743
1178,z,-0.124329459,0.8918206704,1520,-0.139410829,0.8891439844,0.05,-1.873658812,1.6249998947
1179,z,-0.269931492,0.7862720984,1520,-0.343305444,0.7314161612,0.05,-1.812224587,1.2723616025
1180,z,-0.21509244,0.8237400779,1520,-0.261116881,0.7940377467,0.05,-1.830879948,1.400695067
1181,z,-0.240173515,0.806264389,1520,-0.297884315,0.7658321694,0.05,-1.821682006,1.3413349753
1182,z,-0.179570626,0.8491848276,1520,-0.211462357,0.8325548504,0.05,-1.845268669,1.4861274177
1183,z,-0.116181928,0.8983944034,1520,-0.129321741,0.8971201789,0.05,-1.878405829,1.646041973
1184,z,-0.134111882,0.8839743514,1520,-0.151714676,0.8794321149,0.05,-1.868050477,1.5998267135
1185,z,-0.04896712,0.9551445281,1520,-0.051266713,0.9591197286,0.05,-1.922507862,1.8245736211
1186,z,-0.126827624,0.8897846736,1520,-0.142537434,0.8866744043,0.05,-1.872163317,1.6185080691
