ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
133,z,-0.03787249,0.9740385333,1520,-0.038881922,0.968989636,0.05,-1.948474312,1.8727293319
134,z,-0.019212633,0.9866168588,1520,-0.019473246,0.9844661355,0.05,-1.954487166,1.9160619008
135,z,-0.00421725,0.997024224,1520,-0.004229837,0.9966256437,0.05,-1.9599061,1.9514716003
136,z,-0.005647053,0.9960240699,1520,-0.005669595,0.9954770856,0.05,-1.959374075,1.9480799683
137,z,-0.026539467,0.9815589861,1520,-0.027038076,0.978432914,0.05,-1.951892852,1.8988139184
138,z,-0.003709521,0.9973801054,1520,-0.003719265,0.9970329505,0.05,-1.960096442,1.9526773993
139,z,-0.013316643,0.9907223342,1520,-0.013441347,0.9892774432,0.05,-1.956644173,1.9300108867
140,z,-0.004958692,0.9965002819,1520,-0.004976107,0.9960303101,0.05,-1.959619816,1.9497024315
141,z,-0.023013887,0.9839959101,1520,-0.023388194,0.9813436924,0.05,-1.953147361,1.9071195878
142,z,-0.048820469,0.9677377553,1520,-0.050448035,0.9597719865,0.05,-1.947063151,1.8494222142
143,z,-0.008254255,0.9942169137,1520,-0.008302268,0.9933769142,0.05,-1.958436493,1.9419279829
144,z,-0.007353647,0.9948215261,1520,-0.007391925,0.9941031205,0.05,-1.958721847,1.9440145543
145,z,-0.005429786,0.9961806888,1520,-0.005450603,0.9956517847,0.05,-1.959464019,1.9486044482
146,z,-0.00060605,0.9995703169,1520,-0.000606311,0.9995163134,0.05,-1.961289128,1.9600770267
147,z,-0.000831078,0.999411074,1520,-0.000831567,0.9993366145,0.05,-1.961201796,1.9595396404
148,z,-0.003170685,0.9977639425,1520,-0.003177791,0.9974649109,0.05,-1.960310512,1.9539691417
149,z,-0.005058326,0.9964369251,1520,-0.005076413,0.9959502916,0.05,-1.959595174,1.9494785221
150,z,-0.04402634,0.9701549139,1520,-0.045380732,0.9638097998,0.05,-1.947010342,1.8589576619
